original_sentence,processed_tokens
"COLDWELL BANKER POYRAZ GAYRİMENKULMENDERES'İN EN HUZURLU MAHALLESİ BARBAROS'TA,MÜSTAKİL YAŞAMIN TADINI ÇIKARACAĞINIZ, HAVUZLU NEZİH SİTE İÇERİSİNDEKİ VİLLAMIZIN ÖZELLİKLERİ;​*MÜSTAKİL GİRİŞ ÇIKIŞ İMKANI,*4 ODA 1 AÇIK MUTFAK SALON,*EN ALT KATTA WC,*2.KATTA 2 ODA*3.KATTA 2 ODA,*LED VE SPOT AYDINLATMALI,*3'LÜ ANKASTRE SET,*TÜM ODALARI AYDINLIK GENİŞ VE KULLANIŞLI,*EBEVEYN BANYOLU,*MÜSTAKİL BAHÇELİ,*YAZ KIŞ KULLANIMA UYGUN CAMLAMA İLE KAPATILMIŞ VARENDA,*MERDİVEN ÇIKIŞLARINDA ÇOCUK EMNİYET KAPISI,*OTOMATİK PANJUR,*ARTEZYEN,HİDRAFOR,*SİTE İÇİ ORTAK KULLANIM YEŞİL ALANLARVİLLAMIZ HAKKINDA DETAYLI BİLGİ ALMAK İÇİN LÜTFEN İLETİŞİME GEÇİNİZ..ASLI ÖZ",coldwell banker poyraz gayrimenkulmender huzurlu mahalles barbarostamüstakil yaşam tadı çikaracak havuzlu nezih si içeris villa özelliklerimüstakil giriş çikiş imka o açik mutfak salone alt kat wckat odakat odaledi spot aydinlatmalilü ankastre sett odalari aydinlik geniş kullanişliebeveyn banyolumüstakil bahçeliyaz kiş kullan uygu camla kapatil varendamerdive çikişlar çocuk emniyet kapisiotomatik panjurartezyenhidraforsi iç ortak kullan yeşil alanlarvilla hakk detayli bilgi almak lütfe iletiş geçinizasli
"ERTUĞLURDA
KUPON  ACİL SATILIK  3+1 DAİRE",ertuğlur kupo acil satilik dair
Dairemiz önder cad satılık  esyali olarak satiliktir.,daire önder cad satılık esyal olarak satilik
Dairemiz yatirimliktir.,daire yatirimlik
Detayli bilgi icin arayiniz,detayli bilgi iç aray
Gaziemir beyazevlerde yer alan müstakil villamızın tadilatları 1.,gaziemir beyazev yer ala müstakil villa tadilat
Sınıf malzemeler ile ev sahibi tarafından itina ile yaptırılmıştır .,sınıf malzeme sahip taraf itina yaptırıl
"Zemin Kat: Ön bahçe / balkon, Salon + Mutfak + Genel WC + Arka Bahçe / Balkon

1.",ze kat bahçe balko salo mutfak genel arka bahçe balko
"Kat: Ebeveyn Yatak Odası + oturma Odası (Balkonlu) + çocuk odası (Balkonlu)

2.",kat ebeveyn yatak odas oturma odas balkonlu çocuk odas balkonlu
Kat Teras balkon ve yatak odası .,kat teras balko yatak odas
"Bu kat istenirse tamamen yaptırılabilir
Bu vesile ile tripleks çok daha büyük bir villa haline az bir masraf ile dönüştürülebilir .",kat istenir tamame yaptırılabilir vesil tripleks büyük bir villa hal bir masraf dönüştürülebilir
(Emsalleri komşu villalarda görünmektedir),emsal komşu villa görünmek
"Egekent'te bağımsız tek blokta,5.kat,3+1,Doğalgazlı, kapalı mutfak,Katlanır Cam balkonlu,120 metrekare net kullanım alanı,Otobüs durağı yakınında, dolmuşlar önünden geçen,Civarında İlkokul,Ortaokul,Lise bulunan,Pazar yerine yürüme mesafesindeki ,daha detaylı bilgi almak ve dairemizi görmek için;
HANDAN GÜRBÜZTEL : 05529219956",egekent bağımsız tek bloktakatdoğalgazlı kapal mutfakkatlanır cam balkonlu metrekar net kulla alanıotobüs durak yakın dol ön geçencivar ilkokulortaokullis bulunanpazar yer yür mesafes detaylı bilgi almak daire görmek ha gürbüztel
"AYRANCİLARDA BAHÇELİEVLER DE
ANA YOLA COK YAKİN
CUMA PAZARİ YURUME MESAFESİNDE
DOĞALGAZ Lİ
SUNUM VE DETAY IÇIN LÜTFEN ARAYINIZ",ayranci bahçeliev an yol cok yak ç pazari yurume mesafe doğalgaz s detay lütfe aray
"***NOT: BİNA DA TAPU, RUHSAT, DOĞALGAZ, ELEKTRİK VE SU ABONELİKLERİ VARDIR.",not bina tapu ruhsat doğalgaz elektrik abonelik vardir
"***

TÜM RESMİ KURUMLARA OKULLARA HASTANEYE ECZANELERE PAZARYERLERİNE BAKKALLARA MARKETLERE İBADETHANELERE İŞ SERVİS ESHOT OTOBÜS MİNİBÜS DURAKLARINA TÜM SOSYAL ALANLARA VS HER YERE YAKINDIR.",resmi kurum okul hastane eczane pazaryer bakkal market ibadethane servis eshot otobüs minibüs durak sosyal alan yer yak
DETAYLI BİLGİ İÇİN BİZİ ARAYINIZ VE MESAJ ATINIZ,detayli bilgi biz aray mesaj at
"***NOT: BİNA DA TAPU, RUHSAT, DOĞALGAZ, ELEKTRİK VE SU ABONELİKLERİ VARDIR.",not bina tapu ruhsat doğalgaz elektrik abonelik vardir
"***

HER TÜRLÜ TAKAS SEÇENEKLERİ DEĞERLENDİRİLİR

TÜM RESMİ KURUMLARA OKULLARA HASTANEYE ECZANELERE PAZARYERLERİNE BAKKALLARA MARKETLERE İBADETHANELERE İŞ SERVİS ESHOT OTOBÜS MİNİBÜS DURAKLARINA TÜM SOSYAL ALANLARA VS HER YERE YÜRÜME MESAFESİNDE

BERGAMA'NIN YENİ YAŞAM ALANI ZEYTİN PARK VE YENİ YAPILACAK OLAN SELİNOS ANTİK KANAL PROJESİ YAKINI

DETAYLI BİLGİ İÇİN BİZİ ARAYINIZ VE MESAJ ATINIZ",türlü takas seçenek değerlendirilir resmi kurum okul hastane eczane pazaryer bakkal market ibadethane servis eshot otobüs minibüs durak sosyal alan yer yür mesafe bergama ye yaşa alani ze park ye yapilacak ola selinos antik kanal projes yak detayli bilgi biz aray mesaj at
"***NOT 1: BİNA DA TAPU, RUHSAT, DOĞALGAZ, ELEKTRİK VE SU ABONELİKLERİ VARDIR.",not bina tapu ruhsat doğalgaz elektrik abonelik vardir
"***

NOT 2: EV ŞUAN DA BOŞTUR FOTOĞRAFLARI YÜKLENECEKTİR

SAĞLIK OCAĞINA ECZANELERE SEMT PAZARINA BAKKALLARA MARKETLERE OKULLARA İBADETHANELERE İŞ SERVİS ESHOT OTOBÜS MİNİBÜS DURAKLARINA VS YAKINDIR

DETAYLI BİLGİ İÇİN BİZİ ARAYINIZ VE MESAJ ATINIZ",not şuan boş fotoğraflari yüklenecek sağlik ocak eczane semt pazar bakkal market okul ibadethane servis eshot otobüs minibüs durak yak detayli bilgi biz aray mesaj at
"***NOT: BİNA DA TAPU, RUHSAT, DOĞALGAZ, ELEKTRİK VE SU ABONELİKLERİ VARDIR.",not bina tapu ruhsat doğalgaz elektrik abonelik vardir
"***

YÜKSEK KREDİ İMKANLI

DEĞİŞEN VE GELİŞEN BÖLGE DE
2+1 GENİŞ FERAH DAİRE
1.",yük kredi imkanli değişe gelişe bölge geniş ferah dair
"SINIF KALİTE MALZEMELİ
1.SINIF KALİTELİ İŞÇİLİKLİ
DOĞALGAZLI
2 TUVALETLİ
COUNTRY LAKE MUTFAK
DERZLİ MODEL PARKE VS.

DETAYLI BİLGİ İÇİN BİZİ ARAYINIZ VE MESAJ ATINIZ",sinif kali malzemel sinif kalitel işçilikli doğalgazli tuvaletli country lake mutfak derzli model parke detayli bilgi biz aray mesaj at
Dairemiz siteler mahallesinde şelale evlerinde 2+1 105 m2 arakat asansörlü komple cambalkonlu bakımlı güzel bir dairedir.,daire site mahalle şelal ev arakat asansörlü komple cambalkonlu bakımlı güzel bir dair
"KARŞIYAKA TUNA MAHALLESİNDE KOMPLE TADİLATLI OLAN DAİREMİZ MERKEZİ KONUMDADIR.TÜM ULAŞIM ARAÇLARINA, SAHİLE, İSKELEYE YÜRÜME MESAFESİNDEDİR.TEMİZ AYDINLIK VE FERAH BİR DAİREDİR.DETAYLI BİLGİ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ.​",karşiyak t mahalle komple tadilatli ola daire merkez konumdadirt ulaş araç sahil iskele yür mesafesindedirte aydinlik ferah bir dairedirdetayli bilgi lütfe iletiş geç
"Karşıyaka Alaybeyde Merkezi Konumda Satılık 3+1 Dairemiz
girişin karşısındaki duvar kaldırılarak geniş ve ferah bir alan oluşturulmuş 2+1 e çevrilmiştir.",karşıyak alaybey merkez kon satılık daire giriş karşıs duvar kaldırılarak geniş ferah bir ala oluşturul çevril
İstenirse tekrar 3+1 ćevrilebilir.,istenir tekrar evrilebilir
Alaybey İZBAN durağına 250 m yürüme mesafesindedir.,alaybey izba durak yür mesafe
Alaybey tramvay hattına ve Karşıyaka Sahile 3 dk yürüme mesafesindedir.,alaybey tramvay hatt karşıyak sahil yür mesafe
"Zincir Marketlere, Toplu Taşıma , Sağlık Ocağına, Bankalar, Resmi Dairelere ve Karşıyaka Çarşıya 3 dakika yürüme mesafesindedir.",zincir market toplu taş sağlık ocak banka resmi daire karşıyak çarşı dakik yür mesafe
Komple tadilatlı ve otoparkı bulunmaktadır.,komple tadilatlı otoparkı bulunmak
Çift cephe Aydınlık ve kullanışlı birdairedir.,çift cephe aydınlık kullanışlı birdair
Detaylı Bilgi ve Yer Gösterimi İçin Lütfen İletişime Geçiniz.,detaylı bilgi yer göster lütfe iletiş geç
TURPA EGEMEN KARŞIYAKA,turpa egeme karşiyak
"KARŞIYAKA ALAYBEYDE MERKEZİ KONUMDA TÜM ULAŞIM ARAÇLARINA 3 DAKİKA YÜRÜME MESAFESİNDE ​OLUPİLKOKUL, ORTAOKUL VE  LİSE YÜRÜME MESAFESİNDEDİR.",karşiyak alaybey merkez kon ulaş araç dakik yür mesafe olupilkokul ortaokul lis yür mesafe
"TÜM İHTİYAÇLARINIZI KARŞILAYABİLECEĞİNİZ   ECZANE, SAĞLIK OCAĞI, ALIŞVERİŞ MERKEZLERİ YANIBAŞINIZDADIR.",ihtiyaç karşilayabilecek ecza sağlik ocaği alişveriş merkez yanibaş
"DAİREMİZ  KARŞIYAKA ÇARŞI, ALAYBEY ÇARŞI, İZBAN , İSKELE VE SAHİL LOKASYONUNUN TAM ORTASINDADIR.",daire karşiyak çarşi alaybey çarşi izba iskel sahil lokasyon tam ortas
TÜM YATIRIMCI MÜŞTERİLERİMİZ İÇİN FIRSAT BİR DAİREDİR.,yatirimci müşteri firsat bir dair
"Reis Dere’ de; havuzlu, köy içine kısa yürüme mesafesinde, sessiz sakin nezih konumda, A kalite malzeme ve işçilikle itina ile inşa edilmiş, tripleks lüks villa.Her Villada: 7 Oda + 5 Banyo + 2 Depo + Salon ve Mutfak bulunmaktadır
•    350 m2 arsa içinde
•    242 m2 bürüt
•    173 m2 net villa
•    7+1
•    Toplam 5 banyo + WC’Lİ, (üç odası ebeveyn banyolu)
•    Açık mutfak lüks ankastre setler
•    Yerden Isıtma Sistemi (Kat Kontrollü) ve VRV klima sistemi
•    Islak zeminler ve salon seramik, odalar lamine parke
•    Geniş teras ve balkonlar
•    Otopark alanı mevcut
•    Geniş bahçe, (31 m2 Jakuzili, Masajlı ve Şelaleli Yüzme Havuzu,
36 m2 Kapalı Teras, Barbekülü ve Lavabolu Bahçe Mutfağı)
•    Bahçede otomatik sulama + artezyen, Kartlı Girişli Bahçe Kapısı
MESAFELER
•    Köy içine kısa yürüme mesafesinde
•    Otoban gişeler 5,5 km
•    Alaçatı köy içi 6 km
•    Ilıca plajı 6 km
•    Ilıca beach kulüp 6 km
•    Çeşme marina 15 km
•    İzmir 75 km
•    Hava Limanı 95 km",reis der havuzlu köy iç kıs yür mesafe sessiz sak nezih kon kali malze işçilik itina inşa edil tripleks lüks villaher villa o banyo depo salo mutfak bulunmak ar iç bürüt net villa topla banyo wcli odas ebeveyn banyol açık mutfak lüks ankastre set yer isıtma siste kat kontrollü vrv klima siste islak zemin salo seramik oda lam parke geniş teras balkon otopark ala mevcut geniş bahçe jakuzil masajlı şelalel yüzme havuz kapal teras barbekül lavabol bahçe mutfak bahçe otomatik sula artezye kartlı girişli bahçe kapıs mesafe köy iç kıs yür mesafe otoba gişe alaçat köy iç ilıç plaj ilıç beach kulüp çeşme mar izmir hav lima
"HATAY ASKERÎ HASTANE YANINDA 
3+1 DOĞALGAZLI 
ULTRA LÜKS BAKIMLI DOĞALGAZLI 
ARAKAT 
İZMİRSPOR METRO VE İNÖNÜ CADDE YAKINI 
HATAY PAZAR YERİ SOKAĞINDA ÖNÜ AÇIK 
DAİRE",hatay asker hastane yan doğalgazli ultra lüks bakimli doğalgazli arakat izmirspor metro inö cadde yak hatay pazar yer sokak ön açik dair
İzmir gözde siteleri Egekent 2 de Ablok bulunan 4+1160m2 geniz ve kullanışlı dairemiz satışa sunulmuştur.Hayallerinizdeki eve kavuşmak için bizimle iletişime geçin.,izmir göz site egekent ablok buluna ge kullanışlı daire satış sunulmuşturhayaller ev kavuşmak biz iletiş geç
fiyatı pazarlıga acıktır.,fiyat pazarlıgı acık
DUBLEKS DAİREMİZ 3+1 ULTRA LÜKS İNŞA EDİLMİŞTİR​.,dubleks daire ultra lüks inşa edil
FOÇA'NIN EN ELİT MAHALLERİNDEN ATATÜRK MAHALLESİNDE YER ALMAKTADIR.,foçan elit mahaller atatürk mahalle yer almaktadir
BİRİNCİ SINIF İŞÇİLİK VE MALZEME KALİTESİ VARDIR.,birinci sinif işçilik malze kalites vardir
OTURMA RUHSATI BİNA KİMLİK SERTİFİKASI NUMARATAJI VE DİĞER TÜM RESMİ EVRAKLARI TAMDIR.,oturma ruhsati bina kimlik sertifikas numarataji diğer resmi evrak tamdir
KREDİ KULLANIMINA UYGUNDUR.,kredi kullanim uygu
ANA YOLA VE ARA BAĞLANTI YOLLARINA YAKINDIR.,an yol ar bağlanti yol yak
"SAĞLIK OCAĞINA,PAZARA,ÇARŞIYA,HASTANEYE,MARKETE YÜRÜME MESAFESİNDEDİR.",sağlik ocağinapazaraçarşiyahastaneyemarke yür mesafe
SİTENİN ORTAK KULLANIM HAVUZU VARDIR.,site ortak kullan havuz vardir
KATI YAKITLI SIVA ALTI KALORİFER TESİSATI MEVCUTTUR.,kati yakitli siva alti kalorifer tesisat mevcut
"Banyoda sıva altı batarya ile estetik görünüm,
Pimapenler Winsa marka,
Her camda sineklik,
Isı yalıtımlı camlar,
SATIŞIN'DA VE PAZARLAMASIN'DA TEK YETKİLİ TURYAP TEMSİLCİLİĞİDİR.",banyo sıv al batarya estetik gör pimapen w marka ca sineklik isı yalıtımlı cam satiş pazarlamas tek yetkil turyap temsilcilik
"YETKİLİ GAYRİMENKUL DANIŞMANI HÜSEYİN SARAÇ
DETAYLI BİLGİ İÇİN LÜTFEN ULAŞINIZ
TELEFON VE WHATSAP05065347199",yetkil gayrimenkul danişma hüsey saraç detayli bilgi lütfe ulaş telefo whatsap
"HATAY BAHÇELİEVLER 
HALİDE EDİP ADIVAR CADDE YANINDA 
ÜÇYOL METRO YANINDA 
DAİREMİZ 3+1 DOĞALGAZLI 
ASANSÖRLÜ BAKIMLI 
AÇIK OTOPARKLI 
SATILIK DAİRE",hatay bahçeliev hali edip adivar cadde yan üçyol metro yan daire doğalgazli asansörlü bakimli açik otoparkli satilik dair
"UÇAN EMLAK'DAN KARABAĞLAR YURDOĞLU MAHALLESİNDE 
2+1 85M2
AYRI MUTFAK
DOĞALGAZ(BİNADA AKTİF İSTENİLDİĞİ TAKDİRDE DAİREYE BAĞLATILABİLİR)
ÇİFT CEPHELİ
BALKONLU
ARAKAT
ÜÇÜNCÜ KAT
KARANLIK ODASI OLMAYAN
SATILIK DAİRE
KONUM İTİBARİYLE;ALIŞVERİŞ MARKETLERİNE,OKULA,KURUMSAL MARKETLERE,ANA YOLA VB.YERLERE YAKIN MESAFEDEDİR
DAİRENİZİ BEĞENİN GERİSİNİ BİZE BIRAKIN
TAPU İŞLEMLERİNİZ EKİBİMİZ TARAFINDAN TAPU TESLİMİNE KADAR TAKİP EDİLMEKTEDİR    
OFİSİMİZ ONAT CADDESİ UÇAN YOL HOMEROS BULVARINDADIR
UÇAN EMLAK",uça emlak karabağ yurdoğlu mahalle ayri mutfak doğalgazbina aktif istenildik takdir daire bağlatilabilir çift cephel balkonlu arakat üçüncü kat karanlik odasi olmaya satilik dair ko itibariylealişveriş marketlerineokulakurumsal marketlerean yol vbyer yak mesafe daire beğe geri biz birak tapu işle ekip taraf tapu teslim kadar takip edilmek ofis onat caddes uça yol homeros bulvar uça emlak
Dizi caddesine tam 20 metre mesafede bulunan dairemiz Altıntaşlı dış,diz cadde tam metre mesafe buluna daire altıntaşlı dış
"AYEŞİLOVA'DAKİ 3+1 DAİRENİN ÖZELLİKLERİ* Dairedenin bütün bölğmleri ayrdınlıktır
* Kendisine ait arka cephede 20 m2 bahçesi bulummaktadır* Ayrıca yine arka cephede balkon mevcuttur* Lokasyon olarak; Yeşilova pazar yerine yürüme 3 dakika yakınlıkta  dolmuş ve otobüs duraklarına 5 dakika, Point Bornova AVM ile Otogar'a da 5 dakika mesafededir* Bina iki katlı olup 25 yaşındadır* Daireyi alacak olan kişi 127 merrekare arsanın yarı hissesine de sahip olacağından avantajlı olacaktır* Yüksek girişi olan daire geniş 3+1 özeliktedir* Ayrıca kat mülkiyeti de bulunmaktadır.",ayeşilova daire özellik dairede büt bölğm ayrdınlık kendi ait arka cephe bahçes bulummak ayrıç y arka cephe balko mevcut lokasyo olarak yeşilov pazar yer yür dakik yakınlık dol otobüs durak dakik point bornov avm otogar dakik mesafe bina ik katlı olup yaş daire alacak ola kiş merrekar arsa yar hisse sahip olacak avantajlı olacak yük giriş ola dair geniş özelik ayrıç kat mülkiyet bulunmak
"UÇAN EMLAK'DAN BUCA KAYNAKLAR'DA
3+1 100M2
AÇIK MUTFAK
BALKONLU
ANA YOL YAKINI
HAVADAR FERAH
5-10 YILLIK
ÖNÜ AÇIK 
SATILIK DAİRE
KONUM İTİBARİYLE;ALIŞVERİŞ MARKETLERİNE, CAMİİ'YE,TOPLU TAŞIMA ARAÇLARINA,ANA CADDEYE,VB.YERLERE YAKIN MESAFEDEDİR
DAİRENİZİ BEĞENİN İŞLEMLERİNİZİ BİZE BIRAKIN",uça emlak buç kaynak açik mutfak balkonlu an yol yak havadar ferah yillik ön açik satilik dair ko itibariylealişveriş market camiiyetoplu taş araçlarinaan caddeyevbyer yak mesafe daire beğe işlem biz birak
Detaylı bilgi için arayınız Retrouvailles ltd.,detaylı bilgi aray retrouvailles ltd
İzmir ili Tire ilçesi Fatih mahallesinde yep yeni bir projeyle siz değerli müşterilerimize hizmet vermekten mutluluk duyuyoruzsizde bu projede ev sahibi olmak istemezmisiniz daha iyi hizmet ve bilgi vermek için sizleri satış ofisimize bekleriz.,izmir il tir ilçes fatih mahalle yep ye bir proje değerli müşteri hizmet vermek mutluluk duyuyoruzsiz proje sahip olmak istemezmi i hizmet bilgi vermek siz satış ofis bek
"3+1 KAPALI MUTFAK BRÜT 110 m2
*KONAK ZAFERTEPE MAHALLESİNDE, KONAK ANADOLU LİSESİ YAKININDA,
* KAPALI OTOPARK , ASANSÖR ve KİLERİ OLAN
* 7 YILLIK 5 KATLI BİNANIN ZEMİN KAT / YARI KOTDA KALAN DAİREMİN DOĞALGAZ TESİSATI AKTİF KULLANILMAKTADIR 
*TÜM BEYAZ EŞYALAR VE DAYANIKLI TÜKETİM MALLARI FİYATA DAHİLDİR.",kapali mutfak brüt konak zafertep mahalle konak anadol lises yakin kapali otopark asansör ki ola yillik katli bina ze kat yari kot kala daire doğalgaz tesisat aktif kullanilmak beyaz eşya dayanikli tüket mallari fiya dahil
"(DEMİRDÖKÜM NITROMIX TAM YOĞUŞMALI KOMBİ +MITSUBISHI INVERTER KLİMA + TELEVİZYON + SAMSUNG (A SINIFI) BUZDOLABI+SAMSUNG (A+) ÇAMAŞIR MAKİNESİ+ BOSH SERIE4 (A++)BULAŞIK MAKİNESI+SIEMENS Y.ANKASTRE FIRIN + ELEKTROLUX ANKASTRE OCAK & SILVERLINE DAVLUMBAZ&ASPİRATÖR )
* TÜM DOĞRAMALAR ISI YALITIMLI ÇİFT CAM PVC, ZEMİNLER LAMİNANT PARKE, ISLAK ZEMİNLER SERAMİK, BANYODA HİLTON LAVABO VE DUŞAKABİN, İÇ KAPILAR KAPLAMA VE DIŞ KAPI ÇELİKTİR.",demirdök nitromix tam yoğuşmali kombi mitsubishi inverter klima televizyo samsungu sinif buzdolabisamsungu çamaşir makines bosh serie abulaşik makinesisiemens yankastre fir elektrolux ankastre ocak silverl davlumbazaspiratör doğrama is yalitimli çift cam pvc zemin laminant parke islak zemin seramik banyo hilto lavabo duşakap kapi kapla diş kapi çelik
* PENCERELERDE DEMİR KORKULUK VE SİNEKLİK TAKILIDIR.,pencere demir korkuluk sineklik takil
GÖRÜNTÜLÜ DİAFON VE VESTİYER DEMİRBAŞLARDIR.,görüntül diafo vestiyer demirbaş
"* BULUNDUĞU KONUM İTİBARİ İLE YENİ AÇILACAK OLAN METRO'YA, ANA CADDEYE, TOPLU ULAŞIM DURAKLARINA, PAZAR YERİNE, MARKETLERE, EĞİTİM VE SAĞLIK KURUMLARINA YÜRÜME MESAFESİNDEDİR.",bulunduk ko itibar ye açilacak ola metro an cadde toplu ulaş durak pazar yer market eğit sağlik kurum yür mesafe
"* YATIRIM OLARAK DA DEĞERLENDİREBİLECEĞİNİZ, MOBİLYA VE KIYAFETLERİNİZİ GETİRİP HEMEN OTURMAYA BAŞLAYABİLECEĞİNİZ 3+1 SATILIK DAİREMİ YERİNDE GÖRMEK İÇİN LÜTFEN RANDEVU ALINIZ.",yatir olarak değerlendirebilecek mobilya kiyafet getirip heme oturma başlayabilecek satilik daire yer görmek lütfe randevu al
EVKA 5 EMLAK SATILIK TOKİDE DETAYLI BİLGİ,evka emlak satilik toki detayli bilgi
